Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
,Shubhlabh Affordable Homes,₹21 L - 1 Cr,"2, 3, 4 BHK Builder Floors for sale in Dwarka Mor",₹None K/sq.ft,,540.0 sq.ft,"Jan, 2023"
,Luxurious Happy Homes5RERA,₹15 L - 65 L,"1, 2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,300.0 sq.ft,"Apr, 2022"
,Prem Homes5RERA,₹26.5 L - 50 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Apr, 2021"
,Basera By Khatushyam Builders5,₹24 L - 52 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Feb, 2023"
,Green Valley Affordables And Luxury Homes3.3RERA,₹23.5 L - 59.99 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Jul, 2020"
,Shiv Ganga Luxurious Homes,₹65 L - 85 L,3 BHK Builder Floor for sale in Dwarka Mor,₹None K/sq.ft,,1080.0 sq.ft,"Sep, 2023"
,Metroview By S gambhir Buildtech Dwarka Mor5RERA,₹24.0 L - 40.0 L,"2, 3 BHK Builder Floors for sale in Dwarka Mor",₹4.62 K/sq.ft,,530.0 sq.ft,"Nov, 2022"
,RP Affordable Homes,₹28 L - 1 Cr,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,630.0 sq.ft,"Jul, 2023"
,Guru Ji Luxury Dream Homes5,₹20 L - 70 L,"1, 2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Feb, 2022"
,Green Valley Affordable livingsRERA,₹23.5 L - 60.01 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,460.0 sq.ft,"Nov, 2020"
,Shiv Ganga HomesRERA,₹35.0 L - 75.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,675.0 sq.ft,"Dec, 2021"
,KhatuShyam Luxury HomesRERA,₹23.0 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,550.0 sq.ft,"Oct, 2021"
,Shiv Ganga Homes ,₹30 L - 62.0 L,"2, 3, 4 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,600.0 sq.ft,"Apr, 2023"
,Adarsh Affordable Apartments1,₹22.0 L - 45.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,540.0 sq.ft,"Oct, 2021"
Prem Homes,3 BHK Flat for sale in Dwarka Mor,₹40.0 L,,₹4.94 K/sq.ft,,None sq.ft,
Prem Homes,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.79 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹25.0 L,,₹5.56 K/sq.ft,North-east,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹57.0 L,,₹6.33 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹47.0 L,,₹5.8 K/sq.ft,,None sq.ft,
G3,3 BHK Flat for sale in Dwarka Mor,₹57.0 L,,₹6.33 K/sq.ft,,None sq.ft,
